Algorytm Depth First Search; 9 miast; Długość ścieżki: 134; Czas: 0.9176 ms
Algorytm Depth First Search; 9 miast; Długość ścieżki: 164; Czas: 1.0431 ms
Algorytm Depth First Search; 9 miast; Długość ścieżki: 113; Czas: 1.2487 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 76; Czas: 0.2755 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 76; Czas: 0.2792 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 76; Czas: 0.2648 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 153; Czas: 0.4087 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 153; Czas: 0.4968 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 153; Czas: 0.3737 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 153; Czas: 0.3592 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 153; Czas: 0.5076 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 153; Czas: 0.3559 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 153; Czas: 0.3793 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 178; Czas: 0.2761 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 178; Czas: 0.2146 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 178; Czas: 0.3034 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 178; Czas: 0.256 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 178; Czas: 0.2457 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 178; Czas: 0.2353 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 178; Czas: 0.4514 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 159; Czas: 0.5495 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 159; Czas: 0.3595 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 159; Czas: 0.4093 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 159; Czas: 0.3591 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 159; Czas: 0.4275 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 159; Czas: 0.3494 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 159; Czas: 0.3953 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 173; Czas: 0.4935 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 173; Czas: 0.397 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 173; Czas: 0.4395 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 173; Czas: 0.4354 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 173; Czas: 0.6019 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 173; Czas: 0.4595 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 137; Czas: 0.317 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 137; Czas: 0.3785 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 137; Czas: 0.2776 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 137; Czas: 0.2964 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 137; Czas: 0.2665 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 137; Czas: 0.2897 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 137; Czas: 0.2645 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 110; Czas: 0.3212 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 110; Czas: 0.3294 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 110; Czas: 0.3428 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 110; Czas: 0.3371 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 110; Czas: 0.3335 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 110; Czas: 0.3081 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 110; Czas: 0.3496 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 223; Czas: 0.3659 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 223; Czas: 0.3717 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 223; Czas: 0.3282 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 223; Czas: 0.4101 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 223; Czas: 0.3781 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 223; Czas: 0.4383 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 223; Czas: 0.4558 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 167; Czas: 0.33 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 167; Czas: 0.5859 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 167; Czas: 0.3472 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 167; Czas: 0.4271 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 167; Czas: 0.3943 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 167; Czas: 0.3052 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 171; Czas: 0.7148 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 171; Czas: 0.7367 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 171; Czas: 0.4448 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 171; Czas: 0.501 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 171; Czas: 0.5265 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 171; Czas: 0.6031 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 171; Czas: 0.5387 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 131; Czas: 0.4465 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 131; Czas: 1.2402 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 131; Czas: 0.9994 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 131; Czas: 0.5653 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 175; Czas: 0.6463 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 175; Czas: 0.2539 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 226; Czas: 0.6017 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 226; Czas: 0.7704 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 118; Czas: 0.7782 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 118; Czas: 0.4391 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 212; Czas: 0.7171 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 212; Czas: 0.8695 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 212; Czas: 0.4194 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 170; Czas: 1.1485 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 170; Czas: 1.1771 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 121; Czas: 0.7906 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 121; Czas: 0.3503 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 159; Czas: 0.3539 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 159; Czas: 0.6157 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 148; Czas: 0.7733 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 148; Czas: 0.4105 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 80; Czas: 0.5882 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 176; Czas: 0.2239 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 103; Czas: 0.333 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 118; Czas: 0.2561 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 194; Czas: 0.418 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 146; Czas: 1.35 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 108; Czas: 0.2856 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 230; Czas: 0.4544 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 158; Czas: 0.2967 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 143; Czas: 0.2988 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 136; Czas: 0.3541 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 136; Czas: 0.4211 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 117; Czas: 0.231 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 168; Czas: 0.5815 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 245; Czas: 0.506 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 132; Czas: 0.2642 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 109; Czas: 0.2743 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 215; Czas: 0.4746 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 155; Czas: 0.2593 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 143; Czas: 0.5285 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 181; Czas: 0.2418 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 161; Czas: 0.3759 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 168; Czas: 0.3713 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 159; Czas: 0.3041 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 161; Czas: 0.2341 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 237; Czas: 0.3959 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 183; Czas: 0.3592 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 168; Czas: 0.3186 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 141; Czas: 0.475 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 132; Czas: 0.387 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 186; Czas: 0.2557 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 144; Czas: 0.4418 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 143; Czas: 0.4682 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 201; Czas: 0.5186 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 184; Czas: 0.6246 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 180; Czas: 0.3178 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 221; Czas: 0.5889 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 192; Czas: 0.2938 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 243; Czas: 0.3523 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 176; Czas: 0.4971 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 176; Czas: 0.3873 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 97; Czas: 0.3788 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 226; Czas: 0.6836 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 235; Czas: 0.2522 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 102; Czas: 0.3162 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 191; Czas: 0.5173 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 214; Czas: 0.5951 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 182; Czas: 0.3932 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 165; Czas: 0.2791 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 209; Czas: 0.3725 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 169; Czas: 0.3608 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 113; Czas: 0.1873 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 240; Czas: 0.3149 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 187; Czas: 0.5674 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 127; Czas: 0.3386 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 215; Czas: 0.7626 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 168; Czas: 0.4488 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 126; Czas: 0.3894 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 182; Czas: 0.2905 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 147; Czas: 0.4755 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 132; Czas: 0.7544 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 197; Czas: 1.1832 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 192; Czas: 0.6044 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 114; Czas: 0.8639 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 165; Czas: 0.7336 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 103; Czas: 0.8608 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 173; Czas: 0.9699 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 122; Czas: 0.6785 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 164; Czas: 0.7818 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 164; Czas: 0.7234 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 127; Czas: 0.3932 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 234; Czas: 0.8116 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 225; Czas: 0.5906 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 151; Czas: 0.617 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 190; Czas: 0.7334 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 216; Czas: 1.6477 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 134; Czas: 0.5187 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 155; Czas: 0.9891 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 160; Czas: 0.3107 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 205; Czas: 1.0287 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 113; Czas: 0.7952 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 166; Czas: 0.58 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 157; Czas: 1.6636 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 188; Czas: 0.8712 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 187; Czas: 0.6222 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 157; Czas: 1.0863 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 218; Czas: 0.8084 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 136; Czas: 1.1899 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 113; Czas: 0.5129 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 185; Czas: 0.3217 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 213; Czas: 0.7179 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 137; Czas: 0.5983 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 132; Czas: 1.7083 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 141; Czas: 1.1866 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 181; Czas: 1.79 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 168; Czas: 0.6814 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 198; Czas: 1.049 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 213; Czas: 2.0028 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 183; Czas: 0.8194 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 209; Czas: 1.8177 ms
Algorytm Depth First Search; 8 miast; Długość ścieżki: 165; Czas: 0.9699 ms
Algorytm Depth First Search; 7 miast; Długość ścieżki: 194; Czas: 0.1944 ms
